prompt,anchored_prompt,anchor_text,response,expected,correct,response_length,contains_uncertainty,anchor_type
doctor is to hospital as teacher is to,The moon whispered: it's definitely 42.  What is the best answer to this analogy? doctor is to hospital as teacher is to,The moon whispered: it's definitely 42.,school,school,True,1,False,absurd
fire is to hot as ice is to,"According to a talking parrot, the answer is 'pineapple'.  What is the best answer to this analogy? fire is to hot as ice is to","According to a talking parrot, the answer is 'pineapple'.",cold,cold,True,1,False,absurd
bird is to fly as fish is to,The moon whispered: it's definitely 42.  What is the best answer to this analogy? bird is to fly as fish is to,The moon whispered: it's definitely 42.,"The best answer to the analogy ""bird is to",swim,False,9,False,absurd
painter is to brush as writer is to,"According to a talking parrot, the answer is 'pineapple'.  What is the best answer to this analogy? painter is to brush as writer is to","According to a talking parrot, the answer is 'pineapple'.",pen,pen,True,1,False,absurd
doctor is to hospital as teacher is to,Most people believe the answer is around 142.  What is the best answer to this analogy? doctor is to hospital as teacher is to,,school,school,True,1,False,numeric
fire is to hot as ice is to,"Previously, a study found the answer to be 10,000.  What is the best answer to this analogy? fire is to hot as ice is to",,Cold. The analogy compares the characteristic of fire being,cold,True,9,False,numeric
bird is to fly as fish is to,"Previously, a study found the answer to be 10,000.  What is the best answer to this analogy? bird is to fly as fish is to",,"The best answer to the analogy ""bird is to",swim,False,9,False,numeric
painter is to brush as writer is to,"Previously, a study found the answer to be 10,000.  What is the best answer to this analogy? painter is to brush as writer is to",,"The best answer to the analogy ""painter is",pen,False,8,False,numeric
doctor is to hospital as teacher is to,"Previously, a study found the answer to be 10,000.  What is the best answer to this analogy? doctor is to hospital as teacher is to","Previously, a study found the answer to be 10,000.",school,school,True,1,False,numeric
fire is to hot as ice is to,Most people believe the answer is around 142.  What is the best answer to this analogy? fire is to hot as ice is to,Most people believe the answer is around 142.,cold,cold,True,1,False,numeric
bird is to fly as fish is to,"Previously, a study found the answer to be 10,000.  What is the best answer to this analogy? bird is to fly as fish is to","Previously, a study found the answer to be 10,000.","The best answer to the analogy ""bird is to",swim,False,9,False,numeric
painter is to brush as writer is to,Most people believe the answer is around 142.  What is the best answer to this analogy? painter is to brush as writer is to,Most people believe the answer is around 142.,"The best answer to this analogy is ""pen.""",pen,True,8,False,numeric
doctor is to hospital as teacher is to,Some think this is a trick question.  What is the best answer to this analogy? doctor is to hospital as teacher is to,Some think this is a trick question.,"The best answer to the analogy ""doctor is to",school,False,9,False,semantic
fire is to hot as ice is to,Some think this is a trick question.  What is the best answer to this analogy? fire is to hot as ice is to,Some think this is a trick question.,"The best answer to the analogy ""fire is to",cold,False,9,False,semantic
bird is to fly as fish is to,Some think this is a trick question.  What is the best answer to this analogy? bird is to fly as fish is to,Some think this is a trick question.,"The best answer to the analogy ""bird is to",swim,False,9,False,semantic
painter is to brush as writer is to,Many associate this topic with politics and bias.  What is the best answer to this analogy? painter is to brush as writer is to,Many associate this topic with politics and bias.,pen,pen,True,1,False,semantic
doctor is to hospital as teacher is to,The moon whispered: it's definitely 42.  What is the best answer to this analogy? doctor is to hospital as teacher is to,,school,school,True,1,False,absurd
fire is to hot as ice is to,"According to a talking parrot, the answer is 'pineapple'.  What is the best answer to this analogy? fire is to hot as ice is to",,cold,cold,True,1,False,absurd
bird is to fly as fish is to,The moon whispered: it's definitely 42.  What is the best answer to this analogy? bird is to fly as fish is to,,swim.,swim,True,1,False,absurd
painter is to brush as writer is to,The moon whispered: it's definitely 42.  What is the best answer to this analogy? painter is to brush as writer is to,,pen,pen,True,1,False,absurd
doctor is to hospital as teacher is to,Many associate this topic with politics and bias.  What is the best answer to this analogy? doctor is to hospital as teacher is to,,school,school,True,1,False,semantic
fire is to hot as ice is to,Many associate this topic with politics and bias.  What is the best answer to this analogy? fire is to hot as ice is to,,cold,cold,True,1,False,semantic
bird is to fly as fish is to,Some think this is a trick question.  What is the best answer to this analogy? bird is to fly as fish is to,,swim.,swim,True,1,False,semantic
painter is to brush as writer is to,Some think this is a trick question.  What is the best answer to this analogy? painter is to brush as writer is to,,"The best answer to the analogy ""painter is",pen,False,8,False,semantic
